publication_platform,outreach_type,target_rewired_mind_url,status,date_pitched,response,live_backlink_url,follow_nofollow,notes
Psychreg,Guest article (Approach Anxiety Is a Threat Response),https://rewiredmind.org/ (bio also referenced /guides/overcome-fear-of-rejection/ and /research/),LIVE - earned,2026-09-07,Published 2026-09-08 (no email reply found),https://www.psychreg.org/approach-anxiety-is-threat-response-not-personality-trait/,Follow (rel=noopener only),Links to homepage not guide; optional thank-you note drafted in outreach-batch-3.md
Tiny Buddha,Guest essay #1 (How I Stopped Rehearsing Conversations That Never Happened),https://rewiredmind.org/guides/stop-replaying-conversations/,No reply - treat as declined,2026-09-07,None after 17 days; site search shows 0 posts,,,Guidelines: reply within 2 weeks if accepted; do not resubmit same topic
Tiny Buddha,Guest essay #2 (self-trust),https://rewiredmind.org/guides/build-self-trust/,On hold - needs Jonathan's story details,,,,,10 questions in outreach-batch-2.md section 2
The Self Esteem and Confidence Mindset podcast (Jonny Pardoe),Podcast guest pitch,https://rewiredmind.org/guides/stop-caring-what-people-think/,READY FOR APPROVAL,,,,,Final pitch in outreach-batch-3.md section 3; send to speaking@jonnypardoe.com
The Good Men Project,Guest article (Say the Smaller Thing),https://rewiredmind.org/guides/stop-overthinking-relationships/,Ready for approval - submit via free First Time Submitters form,,,,,Bio/website field behind Submittable login; site sells links so SEO value uncertain
"Introvert, Dear",Guest article (Confident Introverts Aren't Louder),https://rewiredmind.org/guides/social-confidence/,On hold - submissions closed,,,,,No AI-written articles accepted: must be rewritten in Jonathan's voice; confirm introvert framing is true
Highly Sensitive Refuge,Guest article (not drafted),TBD (e.g. /guides/stop-caring-what-people-think/),Candidate - not started,,,,,Same owner/terms as Introvert Dear; needs HSP angle; ~8 week review
Dumb Little Man,Guest article (not drafted),https://rewiredmind.org/guides/confidence-exercises/,Candidate - not started,,,,,900-2000 words; rejects AI-written pieces; rights not stated
Pick the Brain,Guest article (Draft 5),https://rewiredmind.org/guides/confidence-exercises/,Dropped,,,,,Inactive since Jan 2024 and takes sole ownership; article kept for reuse
Featured / HARO,Expert quotes (Drafts 1-3),Matched per request (anxious-texting / stop-second-guessing-yourself / overcome-fear-of-rejection),Pending - Jonathan signup,,,,,Needs email sign-in link + browser check
Source of Sources,Expert quotes (Drafts 1-3),Matched per request,Pending - Jonathan signup,,,,,Form needs real browser (anti-bot check)
Qwoted (free Basic),Expert quotes (Drafts 1-3),Matched per request,Pending - Jonathan signup,,,,,reCAPTCHA + terms agreement; free plan only
Lifehack,Guest article,TBD,Candidate - terms unverified,,,,,Page blocked automated checking
Thrive Global,Contributor application,TBD,Not pursuing,,,,,Limited to credentialed experts
Elephant Journal,Guest article,TBD,Not pursuing,,,,,Asks writers to pay $9/month reading subscription
Addicted2Success / YourTango Experts / Reedsy Discovery,Various,,Excluded - paid,,,,,Paid placement/membership
